x_event  y_pressure
364608516.0  982.834228515625 
364609126.0  982.834228515625 
364609736.0  982.620947265625 
364610366.0  982.567626953125 
364610976.0  982.618310546875 
364611611.0  982.652099609375 
364612221.0  982.553173828125 
364612848.0  982.40478515625 
364613458.0  982.392333984375 
364614080.0  982.342529296875 
364614690.0  982.342529296875 
364615346.0  982.322265625 
364615956.0  982.322265625 
364616566.0  982.3232421875 
364617203.0  982.323486328125 
364617813.0  982.32568359375 
364618442.0  982.3271484375 
364619115.0  982.3111572265625 
364619733.0  982.295166015625 
364620343.0  982.33076171875 
364620973.0  982.413818359375 
364621583.0  982.4346923828125 
364622690.0  982.43701171875 
364623300.0  982.495458984375 
364623928.0  982.5205078125 
364624538.0  982.57763671875 
364625163.0  982.634765625 
364625773.0  982.617333984375 
364626406.0  982.57666015625 
364627016.0  982.57978515625 
364627649.0  982.60791015625 
364628259.0  982.60791015625 
364628869.0  982.7364501953125 
364629501.0  982.750732421875 
364630111.0  982.840966796875 
364630724.0  982.879638671875 
364631334.0  982.92333984375 
364631970.0  982.967041015625 
364632580.0  982.95869140625 
364633227.0  982.939208984375 
364633837.0  982.9401611328125 
364634474.0  982.94873046875 
364635084.0  982.94873046875 
364635694.0  983.022998046875 
364636310.0  983.03125 
364636920.0  982.98271484375 
364637545.0  982.9619140625 
364638155.0  982.8919677734375 
364638789.0  982.822021484375 
364639399.0  982.8212158203125 
364640031.0  982.8193359375 
364640641.0  982.83134765625 
364641261.0  982.939453125 
364641871.0  982.939453125 
364642481.0  983.013720703125 
364643114.0  983.02197265625 
364643724.0  982.98076171875 
364644464.0  982.970458984375 
364645074.0  982.8953125 
364645702.0  982.84521484375 
364646312.0  982.847265625 
364646933.0  982.850341796875 
364647543.0  982.844921875 
364648169.0  982.8232421875 
364648779.0  982.8232421875 
364649398.0  982.667724609375 
364650008.0  982.667724609375 
364650618.0  982.554248046875 
364651238.0  982.52587890625 
364651848.0  982.277587890625 
364652477.0  982.112060546875 
364653087.0  981.981005859375 
364653720.0  981.784423828125 
364654330.0  981.7626953125 
364654963.0  981.67578125 
364655573.0  981.67578125 
364656204.0  981.586181640625 
364656814.0  981.586181640625 
364657424.0  981.360009765625 
364658037.0  981.303466796875 
364658647.0  981.231396484375 
364659278.0  981.183349609375 
364659888.0  981.1646728515625 
364660563.0  981.14599609375 
364661173.0  981.1283447265625 
364661838.0  981.087158203125 
364662448.0  981.058935546875 
364663117.0  980.946044921875 
364663727.0  980.946044921875 
364664347.0  981.390869140625 
364664957.0  981.390869140625 
364665567.0  981.592431640625 
364666190.0  981.642822265625 
364666800.0  981.59052734375 
364667415.0  981.5556640625 
364668025.0  981.5619140625 
364668647.0  981.5712890625 
364669257.0  981.60390625 
364669879.0  981.734375 
364670489.0  981.74375 
364671167.0  981.828125 
364671777.0  981.828125 
364672387.0  981.80703125 
364673009.0  981.8046875 
364673619.0  981.7650390625 
364674237.0  981.748046875 
364674847.0  981.8804931640625 
364675485.0  982.012939453125 
364676095.0  982.0166015625 
364676713.0  982.025146484375 
364677323.0  982.021533203125 
364677945.0  981.989013671875 
364678555.0  981.989013671875 
364679241.0  982.17822265625 
364679851.0  982.17822265625 
364680461.0  982.39521484375 
364681078.0  982.449462890625 
364681688.0  982.5755859375 
364682315.0  982.65966796875 
364682925.0  982.61787109375 
364683542.0  982.55517578125 
364684152.0  982.549267578125 
364684777.0  982.525634765625 
364685387.0  982.525634765625 
364686011.0  982.595947265625 
364686621.0  982.595947265625 
364687231.0  982.796337890625 
364687873.0  982.9959716796875 
364689203.0  983.06005859375 
364689883.0  983.2594970703125 
364690555.0  983.344970703125 
364691165.0  983.282421875 
364691871.0  983.24072265625 
364692481.0  983.22314453125 
364693102.0  983.19677734375 
364693712.0  983.159033203125 
364694335.0  983.008056640625 
364694945.0  983.008056640625 
364695565.0  982.690185546875 
364696175.0  982.690185546875 
364696785.0  982.809716796875 
364697415.0  982.839599609375 
364698025.0  982.745849609375 
364698646.0  982.6794677734375 
364699717.0  982.64453125 
364700327.0  982.64453125 
364700937.0  982.784716796875 
364701576.0  982.80029296875 
364702186.0  982.8640380859375 
364702818.0  982.891357421875 
364703428.0  982.961181640625 
364704056.0  983.031005859375 
364704666.0  982.9532958984375 
364705303.0  982.77197265625 
364705913.0  982.8129150390625 
364706542.0  983.181396484375 
364707152.0  983.181396484375 
364707838.0  983.3408203125 
364708448.0  983.3408203125 
364709058.0  983.2646484375 
364709703.0  983.24560546875 
364710313.0  983.416552734375 
364710947.0  983.530517578125 
364711557.0  983.480908203125 
364712185.0  983.406494140625 
364712795.0  983.401611328125 
364713423.0  983.382080078125 
364714033.0  983.382080078125 
364714659.0  983.487060546875 
364715269.0  983.487060546875 
364715879.0  983.630029296875 
364716658.0  983.665771484375 
364717392.0  983.9063232421875 
364719200.0  984.076171875 
364719810.0  984.119677734375 
